[11:49:57] 404 6717 17.917µs bb542726-638f-49e4-aac0-ad247e601520 127.0.0.1:56951 - GET /favicon.ico
[13:38:31] 404 15377 70.667µs 84c89cc7-289a-4f3c-a1c9-703207dfd2be 127.0.0.1:59515 - GET /v1/status2
[09:59:40] 405 46532 29.75µs b92c7cc1-144f-4f36-8694-54d8f094ebe9 127.0.0.1:52211 - GET /v1/auth/register
[10:02:10] 404 78054 12.666µs 8a31e334-28a8-45e0-af13-7bfcea56c62b 127.0.0.1:62917 - GET /v1/auth
[10:02:13] 404 78054 12.125µs 8b31e334-28a8-45e0-af13-7bfcea56c62b 127.0.0.1:62917 - GET /v1/auth/
[10:02:17] 404 78054 4.375µs 8c31e334-28a8-45e0-af13-7bfcea56c62b 127.0.0.1:62917 - GET /v1/auth/
[10:02:18] 404 78054 9.958µs 8d31e334-28a8-45e0-af13-7bfcea56c62b 127.0.0.1:62917 - GET /v1/auth/
[10:02:19] 404 78054 18.875µs 8e31e334-28a8-45e0-af13-7bfcea56c62b 127.0.0.1:62917 - GET /v1/auth/
[10:02:19] 404 78054 11µs 8f31e334-28a8-45e0-af13-7bfcea56c62b 127.0.0.1:62917 - GET /v1/auth/
[10:02:19] 404 78054 11.167µs 9031e334-28a8-45e0-af13-7bfcea56c62b 127.0.0.1:62917 - GET /v1/auth/
[10:02:20] 404 78054 6.5µs 9131e334-28a8-45e0-af13-7bfcea56c62b 127.0.0.1:62917 - GET /v1/auth/
[10:02:20] 404 78054 11.833µs 9231e334-28a8-45e0-af13-7bfcea56c62b 127.0.0.1:62917 - GET /v1/auth/
[10:02:20] 404 78054 11.834µs 9331e334-28a8-45e0-af13-7bfcea56c62b 127.0.0.1:62917 - GET /v1/auth/
[10:04:03] 404 78054 4.834µs 9431e334-28a8-45e0-af13-7bfcea56c62b 127.0.0.1:62917 - GET /v1/auth/
[10:04:03] 404 78054 12.125µs 9531e334-28a8-45e0-af13-7bfcea56c62b 127.0.0.1:62917 - GET /v1/auth/
[10:04:04] 404 78054 10.042µs 9631e334-28a8-45e0-af13-7bfcea56c62b 127.0.0.1:62917 - GET /v1/auth/
[10:04:04] 404 78054 9.209µs 9731e334-28a8-45e0-af13-7bfcea56c62b 127.0.0.1:62917 - GET /v1/auth/
[10:04:04] 404 78054 8.917µs 9831e334-28a8-45e0-af13-7bfcea56c62b 127.0.0.1:62917 - GET /v1/auth/
[10:04:04] 404 78054 9.667µs 9931e334-28a8-45e0-af13-7bfcea56c62b 127.0.0.1:62917 - GET /v1/auth/
[10:04:04] 404 78054 8.959µs 9a31e334-28a8-45e0-af13-7bfcea56c62b 127.0.0.1:62917 - GET /v1/auth/
